VALUE,BPS_CODE,ZONE,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,PRC_REPLAC,PRC_MIXED,PRC_SURFAC,FRG_NEW,R,G,B,RED,GREEN,BLUE
-1111,-1111,-1111,-1111,Fill-Not Mapped,Fill-Not Mapped,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,111,111,111,0.435294,0.435294,0.435294
-9999,-9999,-9999,-9999,Fill-NoData,Fill-NoData,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0
1,1,0,0,Missing,Missing,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0
11,11,0,0,Open Water,Open Water,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,255,0,0,1
12,12,0,0,Perennial Ice/Snow,Perennial Ice/Snow,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,159,161,240,0.623529,0.631373,0.941176
31,31,0,0,Barren-Rock/Sand/Clay,Barren-Rock/Sand/Clay,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,191,191,191,0.74902,0.74902,0.74902
381,11250,15,11250_6_12_13_15_16_17_18_23_24_25_28,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,117,-9999,-9999,117,100,-9999,-9999,IV-B,255,115,223,1,0.45098,0.87451
383,10010,25,10010,Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,255,255,190,1,1,0.745098
384,10060,15,10060,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sparse,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,255,255,190,1,1,0.745098
385,10040,13,10040,North American Warm Desert Sparsely Vegetated Systems,Sparse,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,255,255,190,1,1,0.745098
386,11490,28,11490_28,Western Great Plains Shortgrass Prairie,Grassland,13,61,-9999,10,83,17,-9999,II-B,205,205,102,0.803922,0.803922,0.4
387,11470,28,11470_28,Western Great Plains Foothill and Piedmont Grassland,Grassland,12,79,-9999,10,87,13,-9999,II-B,137,205,102,0.537255,0.803922,0.4
388,10720,28,10720_28,Wyoming Basins Dwarf Sagebrush Shrubland and Steppe,Shrubland,125,-9999,-9999,125,100,-9999,-9999,IV-B,132,140,200,0.517647,0.54902,0.784314
389,10930,28,10930_13_15_16_23_24_28,Southern Colorado Plateau Sand Shrubland,Shrubland,220,-9999,-9999,220,100,-9999,-9999,V-A,134,219,24,0.52549,0.858824,0.094118
390,11250,25,11250_6_12_13_15_16_17_18_23_24_25_28,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,117,-9999,-9999,117,100,-9999,-9999,IV-B,255,115,223,1,0.45098,0.87451
391,10860,25,10860_25,Rocky Mountain Lower Montane-Foothill Shrubland,Shrubland,72,203,-9999,53,74,26,-9999,III-A,137,68,101,0.537255,0.266667,0.396078
392,10950,25,10950_25,Apacherian-Chihuahuan Mesquite Upland Scrub,Shrubland,10,-9999,49,8,83,-9999,17,II-B,255,56,132,1,0.219608,0.517647
393,10760,25,10760_25,Chihuahuan Stabilized Coppice Dune and Sand Flat Scrub,Shrubland,22,-9999,-9999,22,100,-9999,-9999,II-C,229,69,99,0.898039,0.270588,0.388235
394,10780,25,10780_16_23_24_25,Colorado Plateau Blackbrush-Mormon-tea Shrubland,Shrubland,146,162,-9999,77,53,47,-9999,III-A,52,155,207,0.203922,0.607843,0.811765
395,10820,24,10820_12_15_16_17_23_24,Mojave Mid-Elevation Mixed Desert Scrub,Shrubland,815,-9999,-9999,815,100,-9999,-9999,V-B,216,6,73,0.847059,0.023529,0.286275
396,11460,24,11460_15_16_23_24_25_28,Southern Rocky Mountain Montane-Subalpine Grassland,Grassland,20,-9999,21,10,52,-9999,48,I-B,167,205,178,0.654902,0.803922,0.698039
397,11080,24,11080_4_5_13_14_15_24_25,Sonora-Mojave Semi-Desert Chaparral,Shrubland,81,-9999,-9999,81,100,-9999,-9999,IV-A,255,197,173,1,0.772549,0.678431
398,10870,24,10870_4_6_12_13_14_15_17_24_25,Sonora-Mojave Creosotebush-White Bursage Desert Scrub,Shrubland,329,-9999,-9999,329,100,-9999,-9999,V-A,52,154,184,0.203922,0.603922,0.721569
399,11261,24,11261_16_23_24,Inter-Mountain Basins Montane Sagebrush Steppe-Mountain Big Sagebrush,Shrubland,49,-9999,-9999,49,100,-9999,-9999,IV-A,230,0,169,0.901961,0,0.662745
400,10820,16,10820_12_15_16_17_23_24,Mojave Mid-Elevation Mixed Desert Scrub,Shrubland,815,-9999,-9999,815,100,-9999,-9999,V-B,216,6,73,0.847059,0.023529,0.286275
401,10660,16,10660_16_23_24,Inter-Mountain Basins Mat Saltbush Shrubland,Shrubland,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11,190,127,0.043137,0.745098,0.498039
402,10950,15,10950_15,Apacherian-Chihuahuan Mesquite Upland Scrub,Shrubland,10,-9999,138,9,93,-9999,7,II-B,255,56,132,1,0.219608,0.517647
403,10640,15,10640_15_16_17_23_24_27_28,Colorado Plateau Mixed Low Sagebrush Shrubland,Shrubland,239,119,-9999,79,33,67,-9999,III-A,158,170,215,0.619608,0.666667,0.843137
404,10780,15,10780_15,Colorado Plateau Blackbrush-Mormon-tea Shrubland,Shrubland,282,-9999,-9999,282,100,-9999,-9999,V-A,52,155,207,0.203922,0.607843,0.811765
405,11080,15,11080_4_5_13_14_15_24_25,Sonora-Mojave Semi-Desert Chaparral,Shrubland,81,-9999,-9999,81,100,-9999,-9999,IV-A,255,197,173,1,0.772549,0.678431
406,10930,15,10930_13_15_16_23_24_28,Southern Colorado Plateau Sand Shrubland,Shrubland,220,-9999,-9999,220,100,-9999,-9999,V-A,134,219,24,0.52549,0.858824,0.094118
407,10950,14,10950_14,Apacherian-Chihuahuan Mesquite Upland Scrub,Shrubland,10,-9999,40,8,80,-9999,20,II-B,255,56,132,1,0.219608,0.517647
408,10020,2,10020,Mediterranean California Sparsely Vegetated Systems,Sparse,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,255,245,215,1,0.960784,0.843137
409,10060,22,10060,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sparse,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,78,78,78,0.305882,0.305882,0.305882
410,10010,21,10010,Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,255,255,190,1,1,0.745098
411,10060,21,10060,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sparse,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,78,78,78,0.305882,0.305882,0.305882
412,10010,20,10010,Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,255,255,190,1,1,0.745098
413,10060,20,10060,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sparse,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,78,78,78,0.305882,0.305882,0.305882
414,10010,10,10010,Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,255,255,190,1,1,0.745098
415,10060,10,10060,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sparse,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,78,78,78,0.305882,0.305882,0.305882
416,10110,10,10110_6_10_12_17_18_19,Rocky Mountain Aspen Forest and Woodland,Hardwood,68,57,-9999,31,46,54,-9999,I-C,255,255,115,1,1,0.45098
417,10451,10,10451_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Ponderosa Pine-Douglas-fir,Conifer,148,51,39,19,13,38,49,I-C,200,209,255,0.784314,0.819608,1
418,10452,10,10452_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Larch,Conifer,202,69,137,37,19,54,27,III-A,150,36,181,0.588235,0.141176,0.709804
419,10453,10,10453_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Grand Fir,Conifer,223,106,-9999,72,32,68,-9999,III-A,230,5,8,0.901961,0.019608,0.031373
420,10460,10,10460_10_19_20,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer,401,340,-9999,184,46,54,-9999,III-B,255,170,0,1,0.666667,0
421,10470,10,10470_10_19,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,Conifer,186,139,-9999,80,43,57,-9999,III-A,95,147,229,0.372549,0.576471,0.898039
422,10472,10,10472_10_19,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest-Cedar Groves,Conifer,374,1990,-9999,315,84,16,-9999,V-A,18,144,84,0.070588,0.564706,0.329412
423,10530,10,10530_10_19,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,Conifer,354,56,17,13,4,23,73,I-B,168,85,0,0.658824,0.333333,0
424,10550,10,10550_10_19,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,205,412,-9999,137,67,33,-9999,IV-B,211,255,190,0.827451,1,0.745098
425,10560,10,10560_10_19,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,181,-9999,-9999,181,100,-9999,-9999,IV-B,56,168,0,0.219608,0.658824,0
426,10620,10,10620_10_19_21_29_31,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,Shrubland,286,151,232,69,24,46,30,III-A,191,19,230,0.74902,0.07451,0.901961
427,10650,10,10650_1_8_9_10,Columbia Plateau Scabland Shrubland,Shrubland,253,-9999,-9999,253,100,-9999,-9999,V-A,190,255,232,0.745098,1,0.909804
428,10700,10,10700_10_19_28,Rocky Mountain Alpine Dwarf-Shrubland,Shrubland,228,-9999,-9999,228,100,-9999,-9999,V-A,19,118,92,0.07451,0.462745,0.360784
429,10790,10,10790_6_9_10_12_16_17_18,Great Basin Xeric Mixed Sagebrush Shrubland,Shrubland,94,831,-9999,84,90,10,-9999,IV-A,57,194,207,0.223529,0.760784,0.811765
430,10800,10,10800_10_19,Inter-Mountain Basins Big Sagebrush Shrubland,Shrubland,80,-9999,-9999,80,100,-9999,-9999,IV-A,255,190,232,1,0.745098,0.909804
431,11060,10,11060_10_19,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrubland,100,446,-9999,82,82,18,-9999,IV-A,137,68,80,0.537255,0.266667,0.313725
432,11150,10,11150_10_19,Inter-Mountain Basins Juniper Savanna,Conifer,824,438,560,189,23,43,34,III-B,137,112,68,0.537255,0.439216,0.266667
433,11230,10,11230_10_18,Columbia Plateau Steppe and Grassland,Grassland,50,-9999,-9999,50,100,-9999,-9999,IV-A,235,218,234,0.921569,0.854902,0.917647
434,11240,10,11240_10_12_17_18_19_21,Columbia Plateau Low Sagebrush Steppe,Shrubland,201,-9999,-9999,201,100,-9999,-9999,V-A,132,140,173,0.517647,0.54902,0.678431
435,11250,10,11250_1_7_8_9_10_19,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,59,-9999,-9999,59,100,-9999,-9999,IV-A,255,115,223,1,0.45098,0.87451
436,11260,10,11260_1_7_8_9_10_19,Inter-Mountain Basins Montane Sagebrush Steppe,Shrubland,31,-9999,-9999,31,100,-9999,-9999,II-C,230,0,169,0.901961,0,0.662745
437,11270,10,11270_10_12_13_17_18,Inter-Mountain Basins Semi-Desert Shrub-Steppe,Shrubland,225,-9999,-9999,225,100,-9999,-9999,V-A,194,158,215,0.760784,0.619608,0.843137
438,11340,10,11340_10,Columbia Basin Foothill and Canyon Dry Grassland,Grassland,14,-9999,-9999,14,100,-9999,-9999,II-B,205,245,122,0.803922,0.960784,0.478431
439,11350,10,11350_7_8_9_10_12_17_18,Inter-Mountain Basins Semi-Desert Grassland,Grassland,81,-9999,-9999,81,100,-9999,-9999,IV-A,185,174,211,0.72549,0.682353,0.827451
440,11390,10,11390_10_19,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Grassland,17,-9999,-9999,17,100,-9999,-9999,II-C,171,205,102,0.670588,0.803922,0.4
441,11400,10,11400_10_19,Northern Rocky Mountain Subalpine-Upper Montane Grassland,Grassland,146,-9999,-9999,146,100,-9999,-9999,IV-B,167,205,195,0.654902,0.803922,0.764706
442,11420,10,11420_9_10,Columbia Basin Palouse Prairie,Grassland,25,-9999,-9999,25,100,-9999,-9999,II-C,220,220,0,0.862745,0.862745,0
443,11450,10,11450_9_10_19,Rocky Mountain Subalpine-Montane Mesic Meadow,Grassland,40,160,-9999,32,80,20,-9999,II-C,0,197,255,0,0.772549,1
444,11530,10,11530_6_10_12_13_17_18_19_21,Inter-Mountain Basins Greasewood Flat,Shrubland,1024,-9999,-9999,1024,100,-9999,-9999,V-B,225,225,225,0.882353,0.882353,0.882353
445,11540,10,11540_10_19,Inter-Mountain Basins Montane Riparian Systems,Riparian,173,-9999,-9999,173,100,-9999,-9999,IV-B,154,156,117,0.603922,0.611765,0.458824
446,11590,10,11590_10_19,Rocky Mountain Montane Riparian Systems,Riparian,100,101,-9999,50,50,50,-9999,III-A,123,124,93,0.482353,0.486275,0.364706
447,11600,10,11600_10_19,Rocky Mountain Subalpine/Upper Montane Riparian Systems,Riparian,201,133,-9999,80,40,60,-9999,III-A,49,165,167,0.192157,0.647059,0.654902
448,11610,10,11610_9_10_19,Northern Rocky Mountain Conifer Swamp,Conifer,386,-9999,-9999,386,100,-9999,-9999,V-A,68,79,137,0.266667,0.309804,0.537255
449,11660,10,11660_9_10_19,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Conifer,112,54,106,27,24,50,26,I-C,214,112,0,0.839216,0.439216,0
450,11670,10,11670_10_19,Rocky Mountain Poor-Site Lodgepole Pine Forest,Conifer,335,2500,-9999,295,88,12,-9999,V-A,85,255,0,0.333333,1,0
451,10010,19,10010,Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,255,255,190,1,1,0.745098
452,10060,19,10060,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sparse,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,78,78,78,0.305882,0.305882,0.305882
453,10090,19,10090_19,Northwestern Great Plains Aspen Forest and Parkland,Hardwood,83,396,-9999,69,83,17,-9999,IV-A,11,202,170,0.043137,0.792157,0.666667
454,10110,19,10110_6_10_12_17_18_19,Rocky Mountain Aspen Forest and Woodland,Hardwood,68,57,-9999,31,46,54,-9999,I-C,255,255,115,1,1,0.45098
456,10451,19,10451_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Ponderosa Pine-Douglas-fir,Conifer,148,51,39,19,13,38,49,I-C,200,209,255,0.784314,0.819608,1
457,10452,19,10452_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Larch,Conifer,202,69,137,37,19,54,27,III-A,150,36,181,0.588235,0.141176,0.709804
458,10453,19,10453_10_19,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Grand Fir,Conifer,223,106,-9999,72,32,68,-9999,III-A,230,5,8,0.901961,0.019608,0.031373
459,10460,19,10460_10_19_20,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer,401,340,-9999,184,46,54,-9999,III-B,255,170,0,1,0.666667,0
460,10470,19,10470_10_19,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,Conifer,186,139,-9999,80,43,57,-9999,III-A,95,147,229,0.372549,0.576471,0.898039
461,10472,19,10472_10_19,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest-Cedar Groves,Conifer,374,1990,-9999,315,84,16,-9999,V-A,18,144,84,0.070588,0.564706,0.329412
462,10490,19,10490_19_20_21_23_28_29,Rocky Mountain Foothill Limber Pine-Juniper Woodland,Conifer,385,-9999,-9999,385,100,-9999,-9999,V-A,102,205,171,0.4,0.803922,0.670588
463,10530,19,10530_10_19,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,Conifer,354,56,17,13,4,23,73,I-B,168,85,0,0.658824,0.333333,0
464,10550,19,10550_10_19,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,205,412,-9999,137,67,33,-9999,IV-B,211,255,190,0.827451,1,0.745098
465,10560,19,10560_10_19,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,181,-9999,-9999,181,100,-9999,-9999,IV-B,56,168,0,0.219608,0.658824,0
466,10620,19,10620_10_19_21_29_31,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,Shrubland,286,151,232,69,24,46,30,III-A,191,19,230,0.74902,0.07451,0.901961
467,10700,19,10700_10_19_28,Rocky Mountain Alpine Dwarf-Shrubland,Shrubland,228,-9999,-9999,228,100,-9999,-9999,V-A,19,118,92,0.07451,0.462745,0.360784
468,10800,19,10800_10_19,Inter-Mountain Basins Big Sagebrush Shrubland,Shrubland,80,-9999,-9999,80,100,-9999,-9999,IV-A,255,190,232,1,0.745098,0.909804
469,10810,19,10810_18_19_21,Inter-Mountain Basins Mixed Salt Desert Scrub,Shrubland,1140,-9999,-9999,1140,100,-9999,-9999,V-B,245,202,122,0.960784,0.792157,0.478431
470,11060,19,11060_10_19,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrubland,100,446,-9999,82,82,18,-9999,IV-A,137,68,80,0.537255,0.266667,0.313725
471,11150,19,11150_10_19,Inter-Mountain Basins Juniper Savanna,Conifer,824,438,560,189,23,43,34,III-B,137,112,68,0.537255,0.439216,0.266667
472,11240,19,11240_10_12_17_18_19_21,Columbia Plateau Low Sagebrush Steppe,Shrubland,201,-9999,-9999,201,100,-9999,-9999,V-A,132,140,173,0.517647,0.54902,0.678431
473,11250,19,11250_1_7_8_9_10_19,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,59,-9999,-9999,59,100,-9999,-9999,IV-A,255,115,223,1,0.45098,0.87451
474,11260,19,11260_1_7_8_9_10_19,Inter-Mountain Basins Montane Sagebrush Steppe,Shrubland,31,-9999,-9999,31,100,-9999,-9999,II-C,230,0,169,0.901961,0,0.662745
475,11390,19,11390_10_19,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Grassland,17,-9999,-9999,17,100,-9999,-9999,II-C,171,205,102,0.670588,0.803922,0.4
476,11400,19,11400_10_19,Northern Rocky Mountain Subalpine-Upper Montane Grassland,Grassland,146,-9999,-9999,146,100,-9999,-9999,IV-B,167,205,195,0.654902,0.803922,0.764706
477,11430,19,11430_9_19_21_28,Rocky Mountain Alpine Fell-Field,Grassland,525,-9999,-9999,525,100,-9999,-9999,V-B,130,130,130,0.509804,0.509804,0.509804
478,11440,19,11440_12_16_19_28,Rocky Mountain Alpine Turf,Grassland,207,-9999,-9999,207,100,-9999,-9999,V-A,93,43,29,0.364706,0.168627,0.113725
