Value,Count,CLASSNAMES,R,G,B,RED,GREEN,BLUE
-9999,6078412902,Fill-NoData,0,0,0,0,0,0
11,618852475,Open Water,215,237,247,0.843137255,0.929411765,0.968627451
12,2047802,Snow/Ice,245,245,245,0.960784314,0.960784314,0.960784314
13,32666410,Developed-Upland Deciduous Forest,145,186,136,0.568627451,0.729411765,0.533333333
14,27916204,Developed-Upland Evergreen Forest,106,141,121,0.415686275,0.552941176,0.474509804
15,14399371,Developed-Upland Mixed Forest,84,112,99,0.329411765,0.439215686,0.388235294
16,51432545,Developed-Upland Herbaceous,116,155,148,0.454901961,0.607843137,0.580392157
17,46968954,Developed-Upland Shrubland,187,174,140,0.733333333,0.682352941,0.549019608
22,101146235,Developed - Low Intensity,153,153,153,0.6,0.6,0.6
23,47439540,Developed - Medium Intensity,102,102,102,0.4,0.4,0.4
24,23025357,Developed - High Intensity,51,51,51,0.2,0.2,0.2
25,278209151,Developed-Roads,0,0,0,0,0,0
31,110941119,Barren,192,180,176,0.752941176,0.705882353,0.690196078
32,7352699,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,204,204,204,0.8,0.8,0.8
61,5090489,NASS-Vineyard,214,210,77,0.839215686,0.823529412,0.301960784
63,39156145,NASS-Row Crop-Close Grown Crop,214,210,77,0.839215686,0.823529412,0.301960784
64,996488292,NASS-Row Crop,214,210,77,0.839215686,0.823529412,0.301960784
65,96060928,NASS-Close Grown Crop,214,210,77,0.839215686,0.823529412,0.301960784
68,187766346,NASS-Wheat,214,210,77,0.839215686,0.823529412,0.301960784
69,2081810,NASS-Aquaculture,214,210,77,0.839215686,0.823529412,0.301960784
82,165821694,Cultivated Crops,214,210,77,0.839215686,0.823529412,0.301960784
100,85409438,Sparse Vegetation Canopy,126,106,128,0.494117647,0.415686275,0.501960784
101,23978382,Tree Height = 1 meter,228,239,224,0.894117647,0.937254902,0.878431373
102,19983841,Tree Height = 2 meters,225,237,220,0.882352941,0.929411765,0.862745098
103,33768345,Tree Height = 3 meters,221,235,216,0.866666667,0.921568627,0.847058824
104,36723688,Tree Height = 4 meters,218,233,212,0.854901961,0.91372549,0.831372549
105,50517943,Tree Height = 5 meters,214,231,207,0.839215686,0.905882353,0.811764706
106,40921392,Tree Height = 6 meters,206,227,198,0.807843137,0.890196078,0.776470588
107,35815084,Tree Height = 7 meters,198,223,188,0.776470588,0.874509804,0.737254902
108,83421369,Tree Height = 8 meters,189,218,179,0.741176471,0.854901961,0.701960784
109,44002137,Tree Height = 9 meters,181,214,169,0.709803922,0.839215686,0.662745098
110,59168121,Tree Height = 10 meters,173,210,160,0.678431373,0.823529412,0.62745098
111,66078363,Tree Height = 11 meters,165,206,152,0.647058824,0.807843137,0.596078431
112,90377419,Tree Height = 12 meters,156,201,143,0.611764706,0.788235294,0.560784314
113,120127380,Tree Height = 13 meters,148,197,135,0.580392157,0.77254902,0.529411765
114,179336753,Tree Height = 14 meters,140,194,126,0.549019608,0.760784314,0.494117647
115,181812671,Tree Height = 15 meters,132,190,117,0.517647059,0.745098039,0.458823529
116,238107595,Tree Height = 16 meters,124,187,108,0.48627451,0.733333333,0.423529412
117,197064685,Tree Height = 17 meters,115,183,99,0.450980392,0.717647059,0.388235294
118,409548202,Tree Height = 18 meters,106,180,91,0.415686275,0.705882353,0.356862745
119,196386027,Tree Height = 19 meters,97,177,84,0.380392157,0.694117647,0.329411765
120,180182164,Tree Height = 20 meters,87,174,77,0.341176471,0.682352941,0.301960784
121,148652997,Tree Height = 21 meters,78,171,70,0.305882353,0.670588235,0.274509804
122,130787915,Tree Height = 22 meters,71,164,64,0.278431373,0.643137255,0.250980392
123,108221951,Tree Height = 23 meters,66,154,60,0.258823529,0.603921569,0.235294118
124,87181121,Tree Height = 24 meters,62,143,56,0.243137255,0.560784314,0.219607843
125,66488811,Tree Height = 25 meters,58,133,52,0.22745098,0.521568627,0.203921569
126,38847407,Tree Height = 26 meters,50,126,51,0.196078431,0.494117647,0.2
127,28602678,Tree Height = 27 meters,36,122,53,0.141176471,0.478431373,0.207843137
128,9055190,Tree Height = 28 meters,23,118,56,0.090196078,0.462745098,0.219607843
129,7389411,Tree Height = 29 meters,9,115,58,0.035294118,0.450980392,0.22745098
130,5699098,Tree Height = 30 meters,3,110,58,0.011764706,0.431372549,0.22745098
131,4468374,Tree Height = 31 meters,12,103,51,0.047058824,0.403921569,0.2
132,3629407,Tree Height = 32 meters,21,97,45,0.082352941,0.380392157,0.176470588
133,3240613,Tree Height = 33 meters,30,90,38,0.117647059,0.352941176,0.149019608
134,2589039,Tree Height = 34 meters,35,85,34,0.137254902,0.333333333,0.133333333
135,2337718,Tree Height = 35 meters,26,85,37,0.101960784,0.333333333,0.145098039
136,2564243,Tree Height = 36 meters,17,81,39,0.066666667,0.317647059,0.152941176
137,1151002,Tree Height = 37 meters,8,84,42,0.031372549,0.329411765,0.164705882
138,20171190,Tree Height = 38 meters,0,83,45,0,0.325490196,0.176470588
139,476415,Tree Height = 39 meters,0,76,41,0,0.298039216,0.160784314
140,36906,Tree Height = 40 meters,0,70,37,0,0.274509804,0.145098039
141,125655,Tree Height = 41 meters,0,63,34,0,0.247058824,0.133333333
142,11172,Tree Height = 42 meters,0,56,30,0,0.219607843,0.117647059
201,4876712,Shrub Height = 0.1 meter,239,228,204,0.937254902,0.894117647,0.8
202,136990412,Shrub Height = 0.2 meter,237,225,198,0.929411765,0.882352941,0.776470588
203,190257357,Shrub Height = 0.3 meter,235,222,193,0.921568627,0.870588235,0.756862745
204,213842140,Shrub Height = 0.4 meter,233,220,187,0.91372549,0.862745098,0.733333333
205,162002292,Shrub Height = 0.5 meter,231,217,182,0.905882353,0.850980392,0.71372549
206,147479762,Shrub Height = 0.6 meter,229,214,177,0.898039216,0.839215686,0.694117647
207,156580406,Shrub Height = 0.7 meter,227,211,172,0.890196078,0.82745098,0.674509804
208,269429020,Shrub Height = 0.8 meter,225,209,166,0.882352941,0.819607843,0.650980392
209,104787172,Shrub Height = 0.9 meter,224,206,161,0.878431373,0.807843137,0.631372549
210,43505615,Shrub Height = 1 meter,222,204,156,0.870588235,0.8,0.611764706
211,60993359,Shrub Height = 1.1 meters,220,201,151,0.862745098,0.788235294,0.592156863
212,38607461,Shrub Height = 1.2 meters,216,197,145,0.847058824,0.77254902,0.568627451
213,22507662,Shrub Height = 1.3 meters,201,183,135,0.788235294,0.717647059,0.529411765
214,20687096,Shrub Height = 1.4 meters,186,170,125,0.729411765,0.666666667,0.490196078
215,16605241,Shrub Height = 1.5 meters,171,156,115,0.670588235,0.611764706,0.450980392
216,15853090,Shrub Height = 1.6 meters,159,142,106,0.623529412,0.556862745,0.415686275
217,16568684,Shrub Height = 1.7 meters,150,128,98,0.588235294,0.501960784,0.384313725
218,17669937,Shrub Height = 1.8 meters,140,115,90,0.549019608,0.450980392,0.352941176
219,14202539,Shrub Height = 1.9 meters,130,101,82,0.509803922,0.396078431,0.321568627
220,18587276,Shrub Height = 2.0 meters,121,92,70,0.474509804,0.360784314,0.274509804
221,12295477,Shrub Height = 2.1 meters,112,79,58,0.439215686,0.309803922,0.22745098
222,13335129,Shrub Height = 2.2 meters,104,68,46,0.407843137,0.266666667,0.180392157
223,10081173,Shrub Height = 2.3 meters,95,59,36,0.37254902,0.231372549,0.141176471
224,10891914,Shrub Height = 2.4 meters,89,55,34,0.349019608,0.215686275,0.133333333
225,7385668,Shrub Height = 2.5 meters,82,51,31,0.321568627,0.2,0.121568627
226,8470983,Shrub Height = 2.6 meters,75,47,29,0.294117647,0.184313725,0.11372549
227,6337719,Shrub Height = 2.7 meters,69,42,26,0.270588235,0.164705882,0.101960784
228,6510582,Shrub Height = 2.8 meters,62,38,24,0.243137255,0.149019608,0.094117647
229,4373514,Shrub Height = 2.9 meters,56,34,21,0.219607843,0.133333333,0.082352941
230,24747653,Shrub Height >= 3.0 meters,49,30,19,0.192156863,0.117647059,0.074509804
301,45690172,Herb Height = 0.1 meter,204,230,225,0.8,0.901960784,0.882352941
302,357930043,Herb Height = 0.2 meter,170,213,205,0.666666667,0.835294118,0.803921569
303,893522820,Herb Height = 0.3 meter,136,197,185,0.533333333,0.77254902,0.725490196
304,397781502,Herb Height = 0.4 meter,102,180,165,0.4,0.705882353,0.647058824
305,89385730,Herb Height = 0.5 meter,68,163,145,0.266666667,0.639215686,0.568627451
306,30207424,Herb Height = 0.6 meter,37,147,125,0.145098039,0.576470588,0.490196078
307,25580956,Herb Height = 0.7 meter,0,130,105,0,0.509803922,0.411764706
308,67066487,Herb Height = 0.8 meter,0,123,122,0,0.482352941,0.478431373
309,31361779,Herb Height = 0.9 meter,0,107,117,0,0.419607843,0.458823529
310,181217492,Herb Height >= 1 meter,0,80,88,0,0.31372549,0.345098039
