BpS_Name,Model_Code
North Pacific Oak Woodland,10080_1_2_3_7
Northwestern Great Plains Aspen Forest and Parkland,10090_19
Rocky Mountain Aspen Forest and Woodland,10110_15
Rocky Mountain Aspen Forest and Woodland,10110_16_23_24
Rocky Mountain Aspen Forest and Woodland,10110_20_29
Rocky Mountain Aspen Forest and Woodland,10110_21
Rocky Mountain Aspen Forest and Woodland,10110_22
Rocky Mountain Aspen Forest and Woodland,10110_27
Rocky Mountain Aspen Forest and Woodland,10110_28
Rocky Mountain Aspen Forest and Woodland,10110_6_10_12_17_18_19
Rocky Mountain Aspen Forest and Woodland,10110_7
Rocky Mountain Aspen Forest and Woodland,10110_9
Rocky Mountain Bigtooth Maple Ravine Woodland,10120_16_27
Rocky Mountain Bigtooth Maple Ravine Woodland,10120_17_18_21
Western Great Plains Dry Bur Oak Forest and Woodland,10130_31_38_39_40
Central and Southern California Mixed Evergreen Woodland,10140_4_5
California Coastal Redwood Forest,10150_2_3_4
Colorado Plateau Pinyon-Juniper Woodland,10160_13_14
Colorado Plateau Pinyon-Juniper Woodland,10160_15_28
Colorado Plateau Pinyon-Juniper Woodland,10160_16_23_24_25
Colorado Plateau Pinyon-Juniper Woodland,10160_17
Colorado Plateau Pinyon-Juniper Woodland,10160_22
Columbia Plateau Western Juniper Woodland and Savanna,10170_6_7_8_9_12_18
East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,10180_1_7
Great Basin Pinyon-Juniper Woodland,10190_13_14
Great Basin Pinyon-Juniper Woodland,10190_15
Great Basin Pinyon-Juniper Woodland,10190_4
Great Basin Pinyon-Juniper Woodland,10190_6_7_9_12_16_17_18_19
Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,10200_13
Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,10200_6_9_12_17
Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,10210_2_3_6_7
Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,10220_2_3_6_7
Madrean Encinal,10230_14_15_24_25
Madrean Lower Montane Pine-Oak Forest and Woodland,10240_14_15_24
Madrean Lower Montane Pine-Oak Forest and Woodland,10240_25_27
Madrean Lower Montane Pine-Oak Forest and Woodland,10240_26
Madrean Pinyon-Juniper Woodland,10250_14_15_24_25_26
Madrean Upper Montane Conifer-Oak Forest and Woodland,10260_15
Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,10270_2_3_7
Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,10270_4_5_6
Mediterranean California Mesic Mixed Conifer Forest and Woodland,10280_2_3
Mediterranean California Mesic Mixed Conifer Forest and Woodland,10280_4_6_7_12
Mediterranean California Mixed Oak Woodland,10290_2_3_4_5_6_7_12
Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland,10300_2_3_4_5_6_7
California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,10310_2_3_4_5_6_12
California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,10310_7
Mediterranean California Red Fir Forest,10320_2_3_7
Mediterranean California Red Fir Forest - Cascades,10321_6
Mediterranean California Red Fir Forest - Southern Sierra,10322_6
Mediterranean California Subalpine Woodland,10330_12
Mediterranean California Subalpine Woodland,10330_3_6_7
Mediterranean California Mesic Serpentine Woodland and Chaparral,10340_4_6_7
