TransitionGroupID,Model_Code,mean_amount,annual_probability,BpS_Name
All Fire,10080_1_2_3_7,103.3902,0.1033902,North Pacific Oak Woodland
All Fire,10090_19,14.5,0.0145,Northwestern Great Plains Aspen Forest and Parkland
All Fire,10110_15,8.7156,0.0087156,Rocky Mountain Aspen Forest and Woodland
All Fire,10110_16_23_24,37.4446,0.0374446,Rocky Mountain Aspen Forest and Woodland
All Fire,10110_20_29,9.8114,0.0098114,Rocky Mountain Aspen Forest and Woodland
All Fire,10110_21,9.0334,0.0090334,Rocky Mountain Aspen Forest and Woodland
All Fire,10110_22,6.0602,0.0060602,Rocky Mountain Aspen Forest and Woodland
All Fire,10110_27,8.7446,0.0087446,Rocky Mountain Aspen Forest and Woodland
All Fire,10110_28,8.4652,0.0084652,Rocky Mountain Aspen Forest and Woodland
All Fire,10110_6_10_12_17_18_19,32.0966,0.0320966,Rocky Mountain Aspen Forest and Woodland
All Fire,10110_7,18.0518,0.0180518,Rocky Mountain Aspen Forest and Woodland
All Fire,10110_9,36.331,0.036331,Rocky Mountain Aspen Forest and Woodland
All Fire,10120_16_27,19.869,0.019869,Rocky Mountain Bigtooth Maple Ravine Woodland
All Fire,10120_17_18_21,19.8082,0.0198082,Rocky Mountain Bigtooth Maple Ravine Woodland
All Fire,10130_31_38_39_40,59.9116,0.0599116,Western Great Plains Dry Bur Oak Forest and Woodland
All Fire,10140_4_5,132.684,0.132684,Central and Southern California Mixed Evergreen Woodland
All Fire,10150_2_3_4,33.5386,0.0335386,California Coastal Redwood Forest
All Fire,10160_13_14,6.4858,0.0064858,Colorado Plateau Pinyon-Juniper Woodland
All Fire,10160_15_28,8.0608,0.0080608,Colorado Plateau Pinyon-Juniper Woodland
All Fire,10160_16_23_24_25,7.8524,0.0078524,Colorado Plateau Pinyon-Juniper Woodland
All Fire,10160_17,7.8456,0.0078456,Colorado Plateau Pinyon-Juniper Woodland
All Fire,10160_22,7.225,0.007225,Colorado Plateau Pinyon-Juniper Woodland
All Fire,10170_6_7_8_9_12_18,5.8918,0.0058918,Columbia Plateau Western Juniper Woodland and Savanna
All Fire,10180_1_7,15.1452,0.0151452,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland
All Fire,10190_13_14,6.41,0.00641,Great Basin Pinyon-Juniper Woodland
All Fire,10190_15,6.3906,0.0063906,Great Basin Pinyon-Juniper Woodland
All Fire,10190_4,4.948,0.004948,Great Basin Pinyon-Juniper Woodland
All Fire,10190_6_7_9_12_16_17_18_19,2.2394,0.0022394,Great Basin Pinyon-Juniper Woodland
All Fire,10200_13,2.8648,0.0028648,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland
All Fire,10200_6_9_12_17,7.0734,0.0070734,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland
All Fire,10210_2_3_6_7,108.0142,0.1080142,Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland
All Fire,10220_2_3_6_7,106.7432,0.1067432,Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland
All Fire,10230_14_15_24_25,43.1672,0.0431672,Madrean Encinal
All Fire,10240_14_15_24,42.3804,0.0423804,Madrean Lower Montane Pine-Oak Forest and Woodland
All Fire,10240_25_27,141.4966,0.1414966,Madrean Lower Montane Pine-Oak Forest and Woodland
All Fire,10240_26,209.2524,0.2092524,Madrean Lower Montane Pine-Oak Forest and Woodland
All Fire,10250_14_15_24_25_26,21.5966,0.0215966,Madrean Pinyon-Juniper Woodland
All Fire,10260_15,97.7646,0.0977646,Madrean Upper Montane Conifer-Oak Forest and Woodland
All Fire,10270_2_3_7,118.6222,0.1186222,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland
All Fire,10270_4_5_6,91.2008,0.0912008,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland
All Fire,10280_2_3,63.5584,0.0635584,Mediterranean California Mesic Mixed Conifer Forest and Woodland
All Fire,10280_4_6_7_12,58.9992,0.0589992,Mediterranean California Mesic Mixed Conifer Forest and Woodland
All Fire,10290_2_3_4_5_6_7_12,119.6798,0.1196798,Mediterranean California Mixed Oak Woodland
All Fire,10300_2_3_4_5_6_7,99.1192,0.0991192,Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland
All Fire,10310_2_3_4_5_6_12,107.9236,0.1079236,California Montane Jeffrey Pine(-Ponderosa Pine) Woodland
All Fire,10310_7,52.2662,0.0522662,California Montane Jeffrey Pine(-Ponderosa Pine) Woodland
All Fire,10320_2_3_7,40.5666,0.0405666,Mediterranean California Red Fir Forest
All Fire,10321_6,29.0662,0.0290662,Mediterranean California Red Fir Forest - Cascades
All Fire,10322_6,19.1024,0.0191024,Mediterranean California Red Fir Forest - Southern Sierra
All Fire,10330_12,15.8126,0.0158126,Mediterranean California Subalpine Woodland
All Fire,10330_3_6_7,3.874,0.003874,Mediterranean California Subalpine Woodland
All Fire,10340_4_6_7,14.7514,0.0147514,Mediterranean California Mesic Serpentine Woodland and Chaparral
All Fire,10350_1_2_7,27.7942,0.0277942,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland
All Fire,10360_1_2,1.5232,0.0015232,North Pacific Hypermaritime Sitka Spruce Forest
All Fire,10370_1_2_7,12.3864,0.0123864,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest
All Fire,10380_1_7,0.1998,0.0001998,North Pacific Maritime Mesic Subalpine Parkland
All Fire,10390_1_2_3_7,2.54,0.00254,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest
All Fire,10411_1_7,0.2834,0.0002834,North Pacific Mountain Hemlock Forest - Wet
All Fire,10412_1_7,6.0292,0.0060292,North Pacific Mountain Hemlock Forest - Xeric
All Fire,10420_1_7,0.8476,0.0008476,North Pacific Mesic Western Hemlock-Silver Fir Forest
All Fire,10430_5,111.0798,0.1110798,Mediterranean California Mixed Evergreen Forest
All Fire,10431_2_3_6_7,69.9076,0.0699076,Mediterranean California Mixed Evergreen Forest - Interior
All Fire,10432_2_3,25.2854,0.0252854,Mediterranean California Mixed Evergreen Forest - Coastal
All Fire,10440_3_6_7,3.0448,0.0030448,Northern California Mesic Subalpine Woodland
All Fire,10450_1_7_8_9,45.9344,0.0459344,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest
All Fire,10450_21,25.7252,0.0257252,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest
All Fire,10451_10_19,51.8362,0.0518362,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir
All Fire,10451_20,49.1144,0.0491144,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir
All Fire,10452_10_19,27.2592,0.0272592,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Larch
All Fire,10453_10_19,14.0306,0.0140306,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Grand Fir
All Fire,10454_20,13.0224,0.0130224,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Lodgepole Pine
All Fire,10460_1_7_9,16.0348,0.0160348,Northern Rocky Mountain Subalpine Woodland and Parkland
All Fire,10460_10_19_20,5.4302,0.0054302,Northern Rocky Mountain Subalpine Woodland and Parkland
All Fire,10460_18,24.6126,0.0246126,Northern Rocky Mountain Subalpine Woodland and Parkland
All Fire,10460_21,5.1614,0.0051614,Northern Rocky Mountain Subalpine Woodland and Parkland
All Fire,10470_10_19,12.4894,0.0124894,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest
All Fire,10470_8_9,14.4566,0.0144566,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest
All Fire,10472_10_19,3.251,0.003251,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest - Cedar Groves
All Fire,10480_29,34.0978,0.0340978,Northwestern Great Plains Highland White Spruce Woodland
All Fire,10490_16_22,4.791,0.004791,Rocky Mountain Foothill Limber Pine-Juniper Woodland
All Fire,10490_19_20_21_23_28_29,2.5256,0.0025256,Rocky Mountain Foothill Limber Pine-Juniper Woodland
All Fire,10500_16_23_28,8.1052,0.0081052,Rocky Mountain Lodgepole Pine Forest
All Fire,10500_18,8.2098,0.0082098,Rocky Mountain Lodgepole Pine Forest
All Fire,10500_22,5.998,0.005998,Rocky Mountain Lodgepole Pine Forest
All Fire,10510_15_16_17_22_23_24_25,93.4938,0.0934938,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland
All Fire,10510_18_21,94.729,0.094729,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland
All Fire,10510_27,51.5368,0.0515368,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland
All Fire,10510_28,53.8472,0.0538472,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland
All Fire,10510_29,96.1674,0.0961674,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland
All Fire,10510_6,93.5794,0.0935794,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland
All Fire,10520_12,30.3322,0.0303322,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland
All Fire,10520_13,25.277,0.025277,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland
All Fire,10520_15,29.845,0.029845,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland
All Fire,10520_16_23_24,30.1954,0.0301954,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland
All Fire,10520_17,29.8724,0.0298724,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland
All Fire,10520_18,30.0564,0.0300564,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland
All Fire,10520_21,29.814,0.029814,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland
All Fire,10520_25,30.6988,0.0306988,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland
All Fire,10520_27,27.0752,0.0270752,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland
All Fire,10520_28,18.4546,0.0184546,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland
All Fire,10530_10_19,78.3986,0.0783986,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna
All Fire,10531_1_7_8_9,71.5806,0.0715806,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna - Mesic
All Fire,10532_7_9,21.3668,0.0213668,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna - Xeric
All Fire,10540_13_14,66.674,0.066674,Southern Rocky Mountain Ponderosa Pine Woodland
All Fire,10540_15_25,108.4062,0.1084062,Southern Rocky Mountain Ponderosa Pine Woodland
All Fire,10540_16_23_24,58.6996,0.0586996,Southern Rocky Mountain Ponderosa Pine Woodland
All Fire,10540_17,67.1124,0.0671124,Southern Rocky Mountain Ponderosa Pine Woodland
All Fire,10540_20,71.4864,0.0714864,Southern Rocky Mountain Ponderosa Pine Woodland
All Fire,10540_22,78.9302,0.0789302,Southern Rocky Mountain Ponderosa Pine Woodland
All Fire,10540_26,109.746,0.109746,Southern Rocky Mountain Ponderosa Pine Woodland
All Fire,10540_28,49.6688,0.0496688,Southern Rocky Mountain Ponderosa Pine Woodland
All Fire,10540_29,56.8408,0.0568408,Southern Rocky Mountain Ponderosa Pine Woodland
All Fire,10540_33,41.1662,0.0411662,Southern Rocky Mountain Ponderosa Pine Woodland
All Fire,10541_27,91.643,0.091643,Southern Rocky Mountain Ponderosa Pine Woodland - South
All Fire,10542_27,40.3046,0.0403046,Southern Rocky Mountain Ponderosa Pine Woodland - North
All Fire,10550_1_8_9,8.2904,0.0082904,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland
All Fire,10550_10_19,7.3282,0.0073282,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland
All Fire,10550_15_28,7.2968,0.0072968,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland
All Fire,10550_16_23_24,4.8182,0.0048182,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland
All Fire,10550_17,5.8586,0.0058586,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland
All Fire,10550_18,7.0418,0.0070418,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland
All Fire,10550_20,10.1268,0.0101268,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland
All Fire,10550_21_22,3.0068,0.0030068,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland
All Fire,10550_27,7.1682,0.0071682,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland
All Fire,10550_29,8.7036,0.0087036,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland
All Fire,10560_1_7_8_9,10.794,0.010794,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland
All Fire,10560_10_19,5.6376,0.0056376,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland
All Fire,10560_15_28,7.2868,0.0072868,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland
All Fire,10560_16_23,4.8518,0.0048518,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland
All Fire,10560_18,7.0042,0.0070042,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland
All Fire,10560_20,5.0466,0.0050466,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland
All Fire,10560_21_22,3.4478,0.0034478,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland
All Fire,10560_29,3.841,0.003841,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland
All Fire,10570_12_16,6.9324,0.0069324,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland
All Fire,10570_18,7.1314,0.0071314,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland
All Fire,10570_23,7.1192,0.0071192,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland
All Fire,10570_28,6.8034,0.0068034,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland
All Fire,10570_29,2.9494,0.0029494,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland
All Fire,10580_12,28.1236,0.0281236,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland
All Fire,10580_4,19.8808,0.0198808,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland
All Fire,10580_7,12.5856,0.0125856,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland
All Fire,10581_6,27.5468,0.0275468,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland - Wet
All Fire,10582_6,39.3258,0.0393258,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland - Dry
All Fire,10590_24_28,7.9486,0.0079486,Southern Rocky Mountain Pinyon-Juniper Woodland
All Fire,10590_25,17.319,0.017319,Southern Rocky Mountain Pinyon-Juniper Woodland
All Fire,10590_26,95.4058,0.0954058,Southern Rocky Mountain Pinyon-Juniper Woodland
All Fire,10590_27_33,7.1644,0.0071644,Southern Rocky Mountain Pinyon-Juniper Woodland
All Fire,10600_1_2_7,35.4852,0.0354852,East Cascades Oak-Ponderosa Pine Forest and Woodland
All Fire,10610_13,30.3076,0.0303076,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
All Fire,10610_15_25,81.0248,0.0810248,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
All Fire,10610_18,35.0682,0.0350682,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
All Fire,10610_20_29,18.349,0.018349,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
All Fire,10610_22_27_28,34.8958,0.0348958,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
All Fire,10610_6,27.9844,0.0279844,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
All Fire,10610_8_9_17,36.7526,0.0367526,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
All Fire,10611_16_23_24,98.0794,0.0980794,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland - Low Elevation
All Fire,10612_16_23,30.7444,0.0307444,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland - High Elevation
