model_label,model_code,ref_label,ref_percent,bps_name
10080_1_2_3_7_A,10080_1_2_3_7,A,9,North Pacific Oak Woodland
10080_1_2_3_7_B,10080_1_2_3_7,B,5,North Pacific Oak Woodland
10080_1_2_3_7_C,10080_1_2_3_7,C,86,North Pacific Oak Woodland
10080_1_2_3_7_D,10080_1_2_3_7,D,NA,North Pacific Oak Woodland
10080_1_2_3_7_E,10080_1_2_3_7,E,NA,North Pacific Oak Woodland
10080_1_2_3_7_Agriculture,10080_1_2_3_7,Agriculture,0,North Pacific Oak Woodland
10080_1_2_3_7_Developed,10080_1_2_3_7,Developed,0,North Pacific Oak Woodland
10080_1_2_3_7_Water,10080_1_2_3_7,Water,0,North Pacific Oak Woodland
10080_1_2_3_7_UN,10080_1_2_3_7,UN,0,North Pacific Oak Woodland
10080_1_2_3_7_UE,10080_1_2_3_7,UE,0,North Pacific Oak Woodland
10090_19_A,10090_19,A,21,Northwestern Great Plains Aspen Forest and Parkland
10090_19_B,10090_19,B,68,Northwestern Great Plains Aspen Forest and Parkland
10090_19_C,10090_19,C,11,Northwestern Great Plains Aspen Forest and Parkland
10090_19_D,10090_19,D,NA,Northwestern Great Plains Aspen Forest and Parkland
10090_19_E,10090_19,E,NA,Northwestern Great Plains Aspen Forest and Parkland
10090_19_Agriculture,10090_19,Agriculture,0,Northwestern Great Plains Aspen Forest and Parkland
10090_19_Developed,10090_19,Developed,0,Northwestern Great Plains Aspen Forest and Parkland
10090_19_Water,10090_19,Water,0,Northwestern Great Plains Aspen Forest and Parkland
10090_19_UN,10090_19,UN,0,Northwestern Great Plains Aspen Forest and Parkland
10090_19_UE,10090_19,UE,0,Northwestern Great Plains Aspen Forest and Parkland
10110_15_A,10110_15,A,7,Rocky Mountain Aspen Forest and Woodland
10110_15_B,10110_15,B,35,Rocky Mountain Aspen Forest and Woodland
10110_15_C,10110_15,C,58,Rocky Mountain Aspen Forest and Woodland
10110_15_D,10110_15,D,NA,Rocky Mountain Aspen Forest and Woodland
10110_15_E,10110_15,E,NA,Rocky Mountain Aspen Forest and Woodland
10110_15_Agriculture,10110_15,Agriculture,0,Rocky Mountain Aspen Forest and Woodland
