"","BPS_ID","EVT_ID","freq","acres","GROUPVEG","bps_acres","EVT_PHYS","evt_acres"
"1",11,7292,840,187,"BPS  Open Water",187,"EVT  Open Water",187
"2",1943,7296,1,0,"BPS  Hardwood",592,"EVT  Developed-Low Intensity",5
"3",1943,7299,30,7,"BPS  Hardwood",592,"EVT  Developed-Roads",123
"4",1943,7303,936,208,"BPS  Hardwood",592,"EVT  Hardwood",4134
"5",1943,7369,3,1,"BPS  Hardwood",592,"EVT  Conifer",44
"6",1943,7370,65,14,"BPS  Hardwood",592,"EVT  Conifer",827
"7",1943,7377,42,9,"BPS  Hardwood",592,"EVT  Conifer",1140
"8",1943,7463,298,66,"BPS  Hardwood",592,"EVT  Hardwood",1870
"9",1943,7502,27,6,"BPS  Hardwood",592,"EVT  Conifer-Hardwood",534
"10",1943,7511,247,55,"BPS  Hardwood",592,"EVT  Hardwood",1060
"11",1943,7512,363,81,"BPS  Hardwood",592,"EVT  Conifer-Hardwood",3019
"12",1943,7556,228,51,"BPS  Hardwood",592,"EVT  Hardwood",3081
"13",1943,7557,152,34,"BPS  Hardwood",592,"EVT  Conifer-Hardwood",7138
"14",1943,7905,28,6,"BPS  Hardwood",592,"EVT  Developed",105
"15",1943,7906,6,1,"BPS  Hardwood",592,"EVT  Developed",11
"16",1943,7907,9,2,"BPS  Hardwood",592,"EVT  Developed",35
"17",1943,7908,8,2,"BPS  Hardwood",592,"EVT  Developed",8
"18",1943,7909,1,0,"BPS  Hardwood",592,"EVT  Developed",1
"19",1943,7925,3,1,"BPS  Hardwood",592,"EVT  Developed",2
"20",1943,7974,3,1,"BPS  Hardwood",592,"EVT  Agricultural",4
"21",1943,7977,2,0,"BPS  Hardwood",592,"EVT  Agricultural",17
"22",1943,9176,1,0,"BPS  Hardwood",592,"EVT  Riparian",7
"23",1943,9177,130,29,"BPS  Hardwood",592,"EVT  Riparian",370
"24",1943,9178,1,0,"BPS  Hardwood",592,"EVT  Riparian",5
"25",1943,9288,35,8,"BPS  Hardwood",592,"EVT  Hardwood",43
"26",1943,9315,41,9,"BPS  Hardwood",592,"EVT  Conifer-Hardwood",166
"27",1943,9817,1,0,"BPS  Hardwood",592,"EVT  Exotic Herbaceous",70
"28",1944,7299,1,0,"BPS  Hardwood",330,"EVT  Developed-Roads",123
"29",1944,7303,78,17,"BPS  Hardwood",330,"EVT  Hardwood",4134
"30",1944,7318,1,0,"BPS  Hardwood",330,"EVT  Hardwood",1
"31",1944,7369,7,2,"BPS  Hardwood",330,"EVT  Conifer",44
"32",1944,7370,14,3,"BPS  Hardwood",330,"EVT  Conifer",827
"33",1944,7377,59,13,"BPS  Hardwood",330,"EVT  Conifer",1140
"34",1944,7463,31,7,"BPS  Hardwood",330,"EVT  Hardwood",1870
"35",1944,7502,35,8,"BPS  Hardwood",330,"EVT  Conifer-Hardwood",534
"36",1944,7511,22,5,"BPS  Hardwood",330,"EVT  Hardwood",1060
"37",1944,7512,122,27,"BPS  Hardwood",330,"EVT  Conifer-Hardwood",3019
"38",1944,7556,269,60,"BPS  Hardwood",330,"EVT  Hardwood",3081
"39",1944,7557,812,181,"BPS  Hardwood",330,"EVT  Conifer-Hardwood",7138
"40",1944,7905,10,2,"BPS  Hardwood",330,"EVT  Developed",105
"41",1944,9174,8,2,"BPS  Hardwood",330,"EVT  Riparian",87
"42",1944,9178,6,1,"BPS  Hardwood",330,"EVT  Riparian",5
"43",1944,9288,7,2,"BPS  Hardwood",330,"EVT  Hardwood",43
"44",1944,9312,1,0,"BPS  Hardwood",330,"EVT  Conifer",27
"45",1944,9315,2,0,"BPS  Hardwood",330,"EVT  Conifer-Hardwood",166
"46",1947,7296,1,0,"BPS  Hardwood-Conifer",114,"EVT  Developed-Low Intensity",5
"47",1947,7299,4,1,"BPS  Hardwood-Conifer",114,"EVT  Developed-Roads",123
"48",1947,7303,12,3,"BPS  Hardwood-Conifer",114,"EVT  Hardwood",4134
"49",1947,7370,4,1,"BPS  Hardwood-Conifer",114,"EVT  Conifer",827
"50",1947,7377,46,10,"BPS  Hardwood-Conifer",114,"EVT  Conifer",1140
"51",1947,7463,16,4,"BPS  Hardwood-Conifer",114,"EVT  Hardwood",1870
"52",1947,7502,11,2,"BPS  Hardwood-Conifer",114,"EVT  Conifer-Hardwood",534
"53",1947,7511,31,7,"BPS  Hardwood-Conifer",114,"EVT  Hardwood",1060
"54",1947,7512,97,22,"BPS  Hardwood-Conifer",114,"EVT  Conifer-Hardwood",3019
"55",1947,7556,53,12,"BPS  Hardwood-Conifer",114,"EVT  Hardwood",3081
"56",1947,7557,41,9,"BPS  Hardwood-Conifer",114,"EVT  Conifer-Hardwood",7138
"57",1947,7905,16,4,"BPS  Hardwood-Conifer",114,"EVT  Developed",105
"58",1947,7906,1,0,"BPS  Hardwood-Conifer",114,"EVT  Developed",11
"59",1947,7907,4,1,"BPS  Hardwood-Conifer",114,"EVT  Developed",35
"60",1947,7908,2,0,"BPS  Hardwood-Conifer",114,"EVT  Developed",8
"61",1947,7970,1,0,"BPS  Hardwood-Conifer",114,"EVT  Agricultural",5
"62",1947,9176,13,3,"BPS  Hardwood-Conifer",114,"EVT  Riparian",7
"63",1947,9177,152,34,"BPS  Hardwood-Conifer",114,"EVT  Riparian",370
"64",1947,9312,3,1,"BPS  Hardwood-Conifer",114,"EVT  Conifer",27
"65",1947,9315,2,0,"BPS  Hardwood-Conifer",114,"EVT  Conifer-Hardwood",166
"66",1947,9817,1,0,"BPS  Hardwood-Conifer",114,"EVT  Exotic Herbaceous",70
"67",1948,7296,6,1,"BPS  Hardwood-Conifer",9352,"EVT  Developed-Low Intensity",5
"68",1948,7299,202,45,"BPS  Hardwood-Conifer",9352,"EVT  Developed-Roads",123
"69",1948,7303,11412,2538,"BPS  Hardwood-Conifer",9352,"EVT  Hardwood",4134
"70",1948,7318,3,1,"BPS  Hardwood-Conifer",9352,"EVT  Hardwood",1
"71",1948,7369,95,21,"BPS  Hardwood-Conifer",9352,"EVT  Conifer",44
"72",1948,7370,982,218,"BPS  Hardwood-Conifer",9352,"EVT  Conifer",827
"73",1948,7377,1425,317,"BPS  Hardwood-Conifer",9352,"EVT  Conifer",1140
"74",1948,7463,5072,1128,"BPS  Hardwood-Conifer",9352,"EVT  Hardwood",1870
"75",1948,7502,1110,247,"BPS  Hardwood-Conifer",9352,"EVT  Conifer-Hardwood",534
"76",1948,7511,2736,608,"BPS  Hardwood-Conifer",9352,"EVT  Hardwood",1060
"77",1948,7512,6056,1347,"BPS  Hardwood-Conifer",9352,"EVT  Conifer-Hardwood",3019
"78",1948,7556,4211,937,"BPS  Hardwood-Conifer",9352,"EVT  Hardwood",3081
"79",1948,7557,7277,1618,"BPS  Hardwood-Conifer",9352,"EVT  Conifer-Hardwood",7138
"80",1948,7905,162,36,"BPS  Hardwood-Conifer",9352,"EVT  Developed",105
"81",1948,7906,23,5,"BPS  Hardwood-Conifer",9352,"EVT  Developed",11
"82",1948,7907,76,17,"BPS  Hardwood-Conifer",9352,"EVT  Developed",35
"83",1948,7908,10,2,"BPS  Hardwood-Conifer",9352,"EVT  Developed",8
"84",1948,7909,1,0,"BPS  Hardwood-Conifer",9352,"EVT  Developed",1
"85",1948,7927,2,0,"BPS  Hardwood-Conifer",9352,"EVT  Developed",5
"86",1948,7970,4,1,"BPS  Hardwood-Conifer",9352,"EVT  Agricultural",5
"87",1948,7974,3,1,"BPS  Hardwood-Conifer",9352,"EVT  Agricultural",4
"88",1948,7975,5,1,"BPS  Hardwood-Conifer",9352,"EVT  Agricultural",8
"89",1948,7976,2,0,"BPS  Hardwood-Conifer",9352,"EVT  Agricultural",4
"90",1948,7977,37,8,"BPS  Hardwood-Conifer",9352,"EVT  Agricultural",17
"91",1948,9060,17,4,"BPS  Hardwood-Conifer",9352,"EVT  Riparian",16
"92",1948,9174,135,30,"BPS  Hardwood-Conifer",9352,"EVT  Riparian",87
"93",1948,9176,10,2,"BPS  Hardwood-Conifer",9352,"EVT  Riparian",7
"94",1948,9177,414,92,"BPS  Hardwood-Conifer",9352,"EVT  Riparian",370
"95",1948,9288,78,17,"BPS  Hardwood-Conifer",9352,"EVT  Hardwood",43
"96",1948,9312,12,3,"BPS  Hardwood-Conifer",9352,"EVT  Conifer",27
"97",1948,9315,407,91,"BPS  Hardwood-Conifer",9352,"EVT  Conifer-Hardwood",166
"98",1948,9317,7,2,"BPS  Hardwood-Conifer",9352,"EVT  Exotic Tree-Shrub",5
"99",1948,9817,60,13,"BPS  Hardwood-Conifer",9352,"EVT  Exotic Herbaceous",70
"100",1949,7296,4,1,"BPS  Hardwood",2501,"EVT  Developed-Low Intensity",5
"101",1949,7297,6,1,"BPS  Hardwood",2501,"EVT  Developed-Medium Intensity",2
"102",1949,7299,127,28,"BPS  Hardwood",2501,"EVT  Developed-Roads",123
"103",1949,7303,2154,479,"BPS  Hardwood",2501,"EVT  Hardwood",4134
