"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","...1","BLUE","ACRES","REL_PERCENT","annual_dist_acres"
"1","All Fire","13020_64",0.0005004,"Laurentian-Acadian Northern Hardwoods Forest",5,0,592,2.4,0.2962368
"2","All Fire","13030_61_63_64_65_66",0.1843418,"Northeastern Interior Dry-Mesic Oak Forest",6,0.392157,330,1.4,60.832794
"3","All Fire","13660_51_63_64_65_66",0.0064298,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest",8,0.388235,114,0.5,0.7329972
"4","All Fire","13690_60_61_63_64_65_66",0.072849,"Central Appalachian Dry Oak-Pine Forest",2,0.862745,9352,38.7,681.283848
"5","All Fire","13700_60_63_64_65_66",0.0018484,"Appalachian (Hemlock-)Northern Hardwood Forest",3,0.568627,2501,10.3,4.6228484
"6","All Fire","13770_60_61_63_64_65_66",0.0054236,"Central Appalachian Pine-Oak Rocky Woodland",1,0.301961,10046,41.6,54.4854856
"7","All Fire","14710_64_65",0.0124068,"Central Interior and Appalachian Floodplain Systems",10,0.690196,28,0.1,0.3473904
"8","All Fire","14720_64_65_66",0.0059586,"Central Interior and Appalachian Riparian Systems",4,0.078431,884,3.7,5.2674024
"9","All Fire","14750_41_50_51_63_64_65_66",0.0170888,"Laurentian-Acadian Floodplain Systems",12,0.960784,0,0,0
"10","All Fire","14790_60_61_63_64_65_66",0.0017616,"Central Interior and Appalachian Swamp Systems",9,1,112,0.5,0.1972992
"11","All Fire","14940_64",0.0012476,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems",13,0.419608,2,0,0.0024952
"12","All Fire","15260_64_65_66",0.0009616,"Laurentian-Acadian Swamp Systems",11,1,22,0.1,0.0211552
"13","All Transitions","13020_64",0.0018594,"Laurentian-Acadian Northern Hardwoods Forest",5,0,592,2.4,1.1007648
"14","All Transitions","13030_61_63_64_65_66",0.1940468,"Northeastern Interior Dry-Mesic Oak Forest",6,0.392157,330,1.4,64.035444
"15","All Transitions","13660_51_63_64_65_66",0.007392,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest",8,0.388235,114,0.5,0.842688
"16","All Transitions","13690_60_61_63_64_65_66",0.1013044,"Central Appalachian Dry Oak-Pine Forest",2,0.862745,9352,38.7,947.3987488
"17","All Transitions","13700_60_63_64_65_66",0.0154658,"Appalachian (Hemlock-)Northern Hardwood Forest",3,0.568627,2501,10.3,38.6799658
"18","All Transitions","13770_60_61_63_64_65_66",0.180852,"Central Appalachian Pine-Oak Rocky Woodland",1,0.301961,10046,41.6,1816.839192
"19","All Transitions","14710_64_65",0.0342508,"Central Interior and Appalachian Floodplain Systems",10,0.690196,28,0.1,0.9590224
"20","All Transitions","14720_64_65_66",0.0237798,"Central Interior and Appalachian Riparian Systems",4,0.078431,884,3.7,21.0213432
"21","All Transitions","14750_41_50_51_63_64_65_66",0.2307958,"Laurentian-Acadian Floodplain Systems",12,0.960784,0,0,0
"22","All Transitions","14790_60_61_63_64_65_66",0.0098428,"Central Interior and Appalachian Swamp Systems",9,1,112,0.5,1.1023936
