"","Value","Freq","Count","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,840,618852475,"Open Water",215,237,247,0.843137255,0.929411765,0.968627451,187,0.8
"2",13,471,32666410,"Developed-Upland Deciduous Forest",145,186,136,0.568627451,0.729411765,0.533333333,105,0.4
"3",14,51,27916204,"Developed-Upland Evergreen Forest",106,141,121,0.415686275,0.552941176,0.474509804,11,0
"4",15,156,14399371,"Developed-Upland Mixed Forest",84,112,99,0.329411765,0.439215686,0.388235294,35,0.1
"5",16,38,51432545,"Developed-Upland Herbaceous",116,155,148,0.454901961,0.607843137,0.580392157,8,0
"6",17,5,46968954,"Developed-Upland Shrubland",187,174,140,0.733333333,0.682352941,0.549019608,1,0
"7",22,21,101146235,"Developed-Low Intensity",153,153,153,0.6,0.6,0.6,5,0
"8",23,10,47439540,"Developed-Medium Intensity",102,102,102,0.4,0.4,0.4,2,0
"9",24,2,23025357,"Developed-High Intensity",51,51,51,0.2,0.2,0.2,0,0
"10",25,552,278209151,"Developed-Roads",0,0,0,0,0,0,123,0.5
"11",63,1,39156145,"NASS-Row Crop-Close Grown Crop",214,210,77,0.839215686,0.823529412,0.301960784,0,0
"12",64,20,996488292,"NASS-Row Crop",214,210,77,0.839215686,0.823529412,0.301960784,4,0
"13",65,34,96060928,"NASS-Close Grown Crop",214,210,77,0.839215686,0.823529412,0.301960784,8,0
"14",110,9,36085164,"Tree Cover = 10%",228,239,224,0.894117647,0.937254902,0.878431373,2,0
"15",111,2,6528884,"Tree Cover = 11%",226,238,222,0.88627451,0.933333333,0.870588235,0,0
"16",112,1,7198220,"Tree Cover = 12%",225,237,220,0.882352941,0.929411765,0.862745098,0,0
"17",113,7,7904402,"Tree Cover = 13%",223,236,218,0.874509804,0.925490196,0.854901961,2,0
"18",114,4,8543638,"Tree Cover = 14%",221,235,216,0.866666667,0.921568627,0.847058824,1,0
"19",115,4,23500347,"Tree Cover = 15%",220,234,214,0.862745098,0.917647059,0.839215686,1,0
"20",116,3,10275647,"Tree Cover = 16%",218,233,212,0.854901961,0.91372549,0.831372549,1,0
"21",117,7,11312146,"Tree Cover = 17%",216,232,210,0.847058824,0.909803922,0.823529412,2,0
"22",118,16,12913967,"Tree Cover = 18%",215,231,208,0.843137255,0.905882353,0.815686275,4,0
"23",119,17,13387968,"Tree Cover = 19%",212,230,204,0.831372549,0.901960784,0.8,4,0
"24",120,14,14038666,"Tree Cover = 20%",207,227,199,0.811764706,0.890196078,0.780392157,3,0
"25",121,16,14492868,"Tree Cover = 21%",203,225,195,0.796078431,0.882352941,0.764705882,4,0
"26",122,14,14889813,"Tree Cover = 22%",199,223,190,0.780392157,0.874509804,0.745098039,3,0
"27",123,19,15140697,"Tree Cover = 23%",195,221,185,0.764705882,0.866666667,0.725490196,4,0
"28",124,17,15453883,"Tree Cover = 24%",191,219,180,0.749019608,0.858823529,0.705882353,4,0
"29",125,16,41607650,"Tree Cover = 25%",187,217,176,0.733333333,0.850980392,0.690196078,4,0
"30",126,15,16086530,"Tree Cover = 26%",182,215,171,0.71372549,0.843137255,0.670588235,3,0
"31",127,27,18727838,"Tree Cover = 27%",178,213,166,0.698039216,0.835294118,0.650980392,6,0
"32",128,28,18708923,"Tree Cover = 28%",174,211,162,0.682352941,0.82745098,0.635294118,6,0
